iter	Passed	Remaining
676	6150	2934
677	6159	2925
678	6168	2916
679	6177	2906
680	6186	2897
681	6194	2888
682	6203	2879
683	6212	2869
684	6220	2860
685	6229	2851
686	6238	2842
687	6247	2833
688	6256	2823
689	6265	2814
690	6273	2805
691	6282	2796
692	6291	2787
693	6300	2778
694	6309	2768
695	6317	2759
696	6325	2750
697	6334	2740
698	6343	2731
699	6355	2723
700	6367	2716
701	6377	2707
702	6385	2697
703	6394	2688
704	6403	2679
705	6412	2670
706	6422	2661
707	6431	2652
708	6440	2643
709	6449	2634
710	6458	2625
711	6467	2615
712	6475	2606
713	6484	2597
714	6494	2588
715	6503	2579
716	6511	2570
717	6520	2561
718	6529	2551
719	6538	2542
720	6547	2533
721	6556	2524
722	6565	2515
723	6575	2506
724	6584	2497
725	6593	2488
726	6602	2479
727	6611	2470
728	6621	2461
729	6631	2452
730	6640	2443
731	6650	2434
732	6659	2425
733	6667	2416
734	6676	2407
735	6685	2398
736	6694	2388
737	6703	2379
738	6711	2370
739	6720	2361
740	6729	2352
741	6737	2342
742	6746	2333
743	6755	2324
744	6764	2315
745	6773	2306
746	6782	2297
747	6792	2288
748	6801	2279
749	6810	2270
750	6820	2261
751	6828	2252
752	6837	2242
753	6846	2233
754	6855	2224
755	6866	2216
756	6875	2207
757	6885	2198
758	6895	2189
759	6905	2180
760	6916	2172
761	6926	2163
762	6934	2154
763	6943	2144
764	6952	2135
765	6960	2126
766	6970	2117
767	6979	2108
768	6989	2099
769	6998	2090
770	7007	2081
771	7016	2072
772	7025	2063
773	7034	2054
774	7043	2044
775	7051	2035
776	7061	2026
777	7069	2017
778	7078	2008
779	7088	1999
780	7097	1990
781	7105	1980
782	7114	1971
783	7123	1962
784	7132	1953
785	7140	1944
786	7149	1935
787	7158	1925
788	7166	1916
789	7175	1907
790	7185	1898
791	7194	1889
792	7203	1880
793	7212	1871
794	7221	1862
795	7229	1852
796	7239	1843
797	7247	1834
798	7256	1825
799	7265	1816
800	7274	1807
801	7286	1798
802	7298	1790
803	7310	1782
804	7322	1773
805	7330	1764
806	7339	1755
807	7348	1746
808	7357	1737
809	7366	1727
810	7374	1718
811	7383	1709
812	7392	1700
813	7402	1691
814	7411	1682
815	7420	1673
816	7429	1664
817	7438	1655
818	7449	1646
819	7458	1637
820	7467	1628
821	7476	1619
822	7485	1609
823	7495	1601
824	7504	1591
825	7513	1582
